	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
adipocytes	0.9655833333333333	0.906	0.9292000000000001	0.9450666666666666	0.8406111111111111	0.9509166666666667	0.920904761904762	0.9330980392156863	0.7745238095238095	0.892	0.9547333333333334	0.886875	0.895	0.9518888888888889	0.9523333333333334	0.9470000000000001	0.6038	0.8662666666666666	0.9086666666666666	0.9718333333333332
aorta_endothel	0.944625	0.8635	0.9483999999999999	0.9435999999999999	0.8607500000000001	0.9454375	0.94	0.9080882352941176	0.836	0.9512499999999999	0.9750000000000001	0.8823125	0.9295000000000001	0.8533333333333333	0.9524166666666667	0.9767999999999999	0.876	0.8582	0.8959999999999999	0.963625
bladder_epithelial	0.91105	0.9004	0.9474400000000001	0.8458	0.9378666666666667	0.950675	0.9580571428571428	0.9591176470588234	0.6090857142857143	0.9621000000000001	0.20876	0.9369	0.9395333333333333	0.7048666666666666	0.9692999999999999	0.21536	0.89352	0.6808	0.9244	0.9726500000000001
blood_b	0.9094000000000001	0.7774666666666666	0.9754799999999999	0.9121599999999999	0.9662666666666668	0.051425	0.9741714285714286	0.9219999999999999	0.9786571428571428	0.176625	0.95716	0.892375	0.9363333333333334	0.9086000000000001	0.9475666666666667	0.9550000000000001	0.92768	0.69744	0.9247	0.9719999999999999
blood_granulocytes	0.9551666666666666	0.9291111111111111	0.9554666666666667	0.9618666666666665	0.9725	0.9309166666666666	0.10880952380952381	0.9064117647058824	0.960952380952381	0.9191666666666668	0.9874666666666667	0.9480416666666667	0.9248888888888889	0.883888888888889	0.9203333333333333	0.9429333333333333	0.9393333333333334	0.9296666666666668	0.95675	0.9728333333333333
blood_monocytes	0.9789166666666667	0.956	0.9722	0.9565333333333332	0.9794999999999999	0.9549166666666666	0.5105714285714286	0.8987647058823529	0.9723333333333333	0.284125	0.9912666666666666	0.9552083333333332	0.9553333333333334	0.7871111111111112	0.9199999999999999	0.9583333333333334	0.9486666666666667	0.9514666666666667	0.9376666666666665	0.9828333333333333
blood_nk	0.95725	0.9231111111111111	0.9611999999999999	0.9461999999999998	0.9700555555555556	0.14075000000000001	0.9802380952380951	0.8701176470588234	0.9704761904761905	0.9374583333333333	0.9686666666666667	0.9347916666666666	0.9544444444444444	0.9225555555555555	0.9298888888888889	0.9777333333333335	0.9373333333333335	0.10413333333333334	0.9195833333333333	0.9815833333333334
blood_t_cd4	0.9280000000000002	0.8132333333333334	0.9478000000000002	0.9023200000000001	0.9532999999999999	0.029737499999999993	0.9629428571428571	0.8963235294117646	0.9525142857142856	0.956025	0.94848	0.8925375000000001	0.9079999999999998	0.8578999999999999	0.9399666666666666	0.9441200000000001	0.90514	0.81354	0.8772	0.9636750000000001
blood_t_cd8	0.912125	0.8368333333333332	0.94044	0.9079	0.9561666666666666	0.06545	0.9583285714285715	0.9015705882352941	0.9487857142857143	0.9594625000000001	0.96638	0.8719750000000002	0.9411666666666667	0.8109999999999999	0.9042833333333332	0.94802	0.8589800000000001	0.6799999999999999	0.9028749999999999	0.9697500000000001
breast_basal_epithelial	0.969625	0.7257499999999999	0.97595	0.911	0.8565833333333334	0.9631875000000001	0.9380714285714287	0.22710294117647056	0.9523928571428572	0.9446875	0.9616499999999999	0.96325	0.6150000000000001	0.9715833333333334	0.07524999999999998	0.82515	0.76385	0.0749	0.9590000000000001	0.98025
breast_luminal_epithelial	0.935	0.8074444444444445	0.9696666666666666	0.9552666666666667	0.8786666666666667	0.9662083333333333	0.981904761904762	0.6830392156862746	0.9453809523809523	0.9786250000000001	0.9762000000000001	0.9638333333333334	0.8063333333333333	0.9775555555555555	0.05811111111111111	0.9114666666666666	0.7968000000000001	0.7465333333333333	0.9547500000000001	0.98375
colon_endocrine	0.03758333333333333	0.9342222222222222	0.9635333333333334	0.9798666666666667	0.9727777777777776	0.9564583333333334	0.9603333333333333	0.9541764705882351	0.9019523809523808	0.973875	0.9730666666666666	0.9536666666666666	0.9008888888888889	0.8372222222222222	0.9540000000000001	0.29519999999999996	0.9314	0.9011333333333335	0.9720833333333333	0.7461666666666668
colon_epithelial	0.021249999999999998	0.9135333333333333	0.95716	0.94924	0.9609666666666665	0.9668749999999999	0.9438857142857143	0.9572823529411766	0.960542857142857	0.9685500000000001	0.96336	0.9385	0.8782	0.7738	0.9458	0.12688	0.9374399999999999	0.9495199999999999	0.962	0.9505000000000001
endometrium_epithelial	0.8967499999999999	0.9435555555555556	0.9279333333333334	0.9539333333333334	0.07350000000000001	0.9608333333333334	0.9509523809523809	0.9572352941176471	0.8538095238095238	0.96125	0.8513333333333333	0.9199166666666666	0.790888888888889	0.9402222222222223	0.9617222222222223	0.9515333333333333	0.89	0.9075333333333333	0.95175	0.9184166666666668
fallopian_epithelial	0.9794166666666667	0.9580000000000001	0.8755999999999999	0.9608	0.0866111111111111	0.9867499999999999	0.9463333333333334	0.9648431372549021	0.9576666666666666	0.9664999999999999	0.9232	0.9714166666666667	0.7920000000000001	0.9764444444444443	0.09811111111111111	0.9852	0.9529333333333333	0.923	0.977	0.98425
fibroblast	0.8336428571428572	0.8135714285714286	0.9301142857142857	0.8847142857142858	0.7796904761904762	0.8209285714285715	0.9362448979591836	0.8972100840336135	0.6790204081632653	0.8693214285714286	0.9311142857142858	0.8678214285714285	0.8274761904761906	0.7868095238095237	0.8668095238095239	0.9353142857142857	0.7064	0.794942857142857	0.9077142857142857	0.9569642857142858
gastric_epithelial	0.004333333333333333	0.9508148148148147	0.8837333333333333	0.9389555555555555	0.9530370370370369	0.9710138888888888	0.958777777777778	0.961875816993464	0.9041587301587302	0.9728055555555556	0.8203555555555555	0.6914444444444444	0.8402592592592593	0.16896296296296295	0.9234074074074076	0.9518888888888889	0.7967333333333334	0.7911777777777779	0.9490000000000001	0.9725277777777777
heart_cardiomyocyte	0.9482499999999998	0.947	0.14096666666666666	0.9576666666666668	0.9274166666666667	0.9622916666666667	0.941452380952381	0.9564411764705882	0.9335000000000001	0.9485208333333333	0.9656000000000001	0.9555208333333333	0.11	0.960111111111111	0.6292222222222221	0.9842333333333334	0.7388999999999998	0.9291666666666667	0.9542083333333333	0.9652916666666668
kidney_glomerular_endothel	0.9566666666666667	0.8961111111111112	0.8341333333333333	0.9494666666666666	0.8707777777777778	0.9766666666666667	0.9349047619047619	0.946843137254902	0.7087142857142856	0.9725	0.9319333333333333	0.9587916666666666	0.9084444444444445	0.9633333333333334	0.9642222222222223	0.9795333333333333	0.8781333333333333	0.9408666666666669	0.8869166666666667	0.9693333333333333
kidney_glomerular_podocytes	0.8763333333333333	0.944	0.8449333333333334	0.9184	0.890888888888889	0.9643333333333333	0.9536190476190476	0.9719803921568627	0.8312380952380952	0.9561249999999998	0.17766666666666664	0.592	0.8995555555555556	0.9595555555555556	0.9401666666666667	0.8652000000000001	0.9306666666666666	0.9464	0.96775	0.6801666666666666
kidney_tubular_endothel	0.9725	0.9374444444444444	0.7940666666666667	0.9493333333333333	0.9172777777777777	0.981375	0.9298571428571428	0.9428823529411764	0.8604761904761906	0.9705416666666666	0.8665333333333333	0.9328750000000001	0.8814444444444445	0.9604444444444445	0.9515555555555556	0.9740666666666667	0.8396	0.967	0.8834166666666666	0.9819166666666668
kidney_tubular_epithelial	0.8649999999999999	0.900111111111111	0.8427333333333333	0.9520666666666666	0.9481666666666667	0.9616250000000001	0.967952380952381	0.9669411764705882	0.8789523809523808	0.9704166666666666	0.23346666666666668	0.55275	0.8340000000000001	0.9317777777777777	0.9487777777777776	0.8475999999999999	0.9414666666666666	0.9056000000000001	0.9544166666666666	0.7116666666666668
liver_hepatocytes	0.05908333333333333	0.7317777777777779	0.9711333333333333	0.9775666666666667	0.9556388888888888	0.9302291666666666	0.966190476190476	0.9534509803921569	0.9587380952380954	0.9520208333333332	0.05353333333333333	0.9215416666666666	0.8791666666666668	0.7757222222222223	0.9589722222222222	0.9642333333333334	0.9243000000000001	0.9455	0.9635000000000001	0.9695
lung_alveolar_endothel	0.9563333333333333	0.8971111111111111	0.8887999999999999	0.9657333333333334	0.7953333333333333	0.9750833333333334	0.9405714285714285	0.9304901960784314	0.9134285714285714	0.9711666666666666	0.8945333333333334	0.9680833333333334	0.9574444444444444	0.955111111111111	0.9758333333333334	0.9658000000000001	0.7779333333333333	0.9233333333333333	0.8265000000000001	0.9805
lung_alveolar_epithelial	0.9618333333333333	0.9381111111111111	0.06546666666666667	0.8828666666666667	0.7473333333333333	0.9730833333333333	0.9599047619047618	0.9628627450980393	0.7386190476190476	0.9583749999999999	0.7545999999999999	0.9313333333333335	0.7772222222222221	0.8721111111111112	0.9643888888888889	0.7442666666666667	0.6758000000000001	0.7535333333333334	0.9831666666666665	0.8716666666666667
lung_bronchus_epithelial	0.9540000000000001	0.9614444444444445	0.7424000000000001	0.07513333333333334	0.6026666666666667	0.9577083333333333	0.9443809523809524	0.9461764705882354	0.9312857142857142	0.9583333333333334	0.9382	0.897125	0.8406666666666666	0.9436666666666668	0.5657222222222221	0.1308	0.8410666666666667	0.7402666666666665	0.9643333333333334	0.9544166666666668
macrophage	0.9592499999999999	0.9267916666666667	0.957925	0.9336	0.9589375	0.87759375	0.8033392857142857	0.9144485294117648	0.9745178571428571	0.31560937499999997	0.9584999999999999	0.95159375	0.9285833333333333	0.7084583333333333	0.9586666666666667	0.960575	0.928725	0.9004249999999999	0.94628125	0.9414374999999999
myeloid	0.7336666666666667	0.0651111111111111	0.6900000000000001	0.6452666666666667	0.8304444444444444	0.8445416666666666	0.9019047619047619	0.6571960784313725	0.8332857142857142	0.8982916666666666	0.7911333333333334	0.7150416666666666	0.6200000000000001	0.7193333333333333	0.658388888888889	0.8048666666666667	0.6888666666666667	0.8103333333333333	0.5825833333333333	0.9307500000000001
neural	0.95135	0.7306666666666667	0.9476199999999999	0.95922	0.7642500000000001	0.971575	0.9306000000000001	0.9618882352941178	0.6385571428571428	0.955175	0.9485199999999999	0.9729125000000002	0.20093333333333332	0.9605333333333335	0.9498000000000001	0.9751999999999998	0.8806200000000001	0.91974	0.9619749999999998	0.978775
oligodendrocytes	0.9556875	0.04533333333333334	0.8717	0.95745	0.6279166666666667	0.965125	0.9257857142857142	0.9534705882352942	0.8386785714285714	0.9508125	0.97095	0.96721875	0.7827500000000001	0.9529166666666666	0.8947083333333333	0.9716	0.03845	0.9257	0.9428124999999999	0.9516875
pancreas_acinar	0.036875	0.6978333333333332	0.8614999999999999	0.8728	0.9483333333333333	0.956625	0.9199285714285714	0.960264705882353	0.9204642857142856	0.939	0.88525	0.09456250000000001	0.7488333333333334	0.6709999999999999	0.9265416666666667	0.8634	0.9047999999999999	0.9619999999999999	0.967	0.960125
pancreas_alpha	0.16574999999999998	0.9451111111111111	0.6848000000000001	0.9497333333333332	0.9307222222222222	0.9732916666666668	0.9362857142857143	0.974549019607843	0.7751428571428572	0.9612916666666665	0.9518000000000001	0.9460416666666666	0.9618888888888888	0.9306666666666668	0.9651111111111109	0.96	0.9776000000000001	0.969	0.9649166666666665	0.012083333333333333
pancreas_beta	0.9036666666666666	0.9637777777777777	0.834	0.9098666666666667	0.9400555555555555	0.958875	0.9277142857142856	0.9658235294117646	0.11299999999999999	0.9742083333333333	0.8757999999999999	0.8341666666666666	0.9407777777777778	0.8931111111111111	0.971	0.9580666666666667	0.953	0.9600666666666667	0.8689166666666667	0.028749999999999998
