	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
adipocytes	0.862051282051282	0.90125	0.030962962962962966	0.9060833333333332	0.96	0.8757916666666666	0.9239166666666666	0.9225	0.9283333333333332	0.9607142857142857	0.8704848484848484	0.9304999999999999	0.9420370370370371	0.9288484848484848	0.6044666666666667	0.8569333333333332	0.96	0.9486333333333334	0.9218055555555557	0.8964074074074074	0.9628888888888888	0.8848095238095239	0.31116666666666665	0.8825833333333333	0.16536666666666663	0.9566410256410256	0.884095238095238	0.9588666666666666	0.8882222222222222
aorta_endothel	0.9147692307692308	0.9493333333333334	0.02663888888888889	0.9248749999999999	0.9715	0.9336875	0.9343750000000001	0.9131250000000001	0.9090499999999999	0.9627142857142856	0.8796818181818182	0.9685833333333334	0.889888888888889	0.8067727272727272	0.8638	0.8498000000000001	0.951125	0.95585	0.9274583333333333	0.9505555555555556	0.9185000000000001	0.9235714285714286	0.1585	0.936875	0.2226	0.9502307692307692	0.9115714285714287	0.8900000000000001	0.9373333333333334
bladder_epithelial	0.9052153846153846	0.9187666666666667	0.023555555555555555	0.7404	0.9644	0.92315	0.9162000000000001	0.9593	0.9334199999999999	0.9628857142857143	0.8774181818181818	0.9483666666666666	0.8994222222222221	0.1532	0.83392	0.8960400000000002	0.95885	0.9501999999999999	0.9430333333333334	0.9517777777777777	0.9092666666666667	0.9492	0.8561499999999999	0.9519	0.10042	0.9417846153846154	0.8778857142857144	0.94284	0.9372666666666667
blood_b	0.18030769230769234	0.9554166666666666	0.020300000000000002	0.96505	0.9735999999999999	0.921975	0.9390499999999999	0.9539500000000001	0.8137000000000001	0.9557142857142857	0.8787636363636363	0.8416	0.9122888888888889	0.8951636363636364	0.89604	0.86616	0.9755499999999999	0.9681000000000001	0.9596833333333332	0.9560666666666668	0.014666666666666666	0.8006285714285714	0.29415	0.9422500000000001	0.15655999999999998	0.963953846153846	0.9610571428571429	0.97424	0.9654666666666667
blood_granulocytes	0.028999999999999998	0.9737222222222224	0.00662962962962963	0.9629166666666666	0.8633333333333333	0.9838333333333334	0.9360833333333334	0.9485833333333332	0.8824	0.9600476190476189	0.9275151515151515	0.9537222222222222	0.9715555555555557	0.9423939393939395	0.9588666666666666	0.8658	0.9848333333333333	0.9699	0.9416388888888889	0.1077037037037037	0.9703333333333334	0.8616190476190476	0.07175	0.8865833333333333	0.077	0.9710256410256409	0.9766666666666666	0.9620000000000001	0.9647777777777778
blood_monocytes	0.03297435897435897	0.9619999999999999	0.012222222222222223	0.9643333333333334	0.9683333333333334	0.9839166666666667	0.9581666666666667	0.9673333333333334	0.8855666666666667	0.9691904761904762	0.9397878787878788	0.9814444444444445	0.9710370370370369	0.9538484848484848	0.9239333333333333	0.9321999999999999	0.9804166666666666	0.9595333333333335	0.9550277777777777	0.6022222222222222	0.976	0.8676666666666667	0.12	0.9369166666666667	0.06716666666666667	0.9803076923076923	0.9558095238095238	0.9724666666666666	0.9716666666666667
blood_nk	0.049025641025641026	0.9783888888888889	0.025611111111111112	0.9523333333333334	0.9541666666666666	0.9683333333333333	0.9411666666666666	0.9610833333333334	0.8712333333333332	0.9673333333333333	0.9271515151515152	0.9524444444444443	0.9510000000000001	0.9431818181818182	0.9345333333333333	0.9100666666666667	0.9885	0.9658666666666668	0.9541388888888888	0.9395185185185184	0.9451111111111111	0.06647619047619047	0.20066666666666666	0.9476666666666667	0.1738666666666667	0.965871794871795	0.9578571428571429	0.9714	0.9842222222222222
blood_t_cd4	0.08625384615384615	0.9567083333333333	0.026449999999999994	0.934675	0.95455	0.9541124999999999	0.93505	0.9214	0.86728	0.9507142857142858	0.8827454545454545	0.8756	0.9329222222222222	0.9078818181818182	0.8852599999999999	0.8457000000000001	0.968	0.9600500000000001	0.9428583333333332	0.9426777777777777	0.9370666666666667	0.8633285714285716	0.205925	0.8529500000000001	0.79965	0.960276923076923	0.9463999999999999	0.9606200000000001	0.9612666666666667
blood_t_cd8	0.13673846153846156	0.9484666666666666	0.04437777777777778	0.9375	0.957175	0.968375	0.9517000000000001	0.919225	0.81274	0.9386857142857143	0.8797909090909091	0.8191166666666667	0.9204000000000002	0.9134545454545455	0.86378	0.87876	0.9690000000000001	0.96742	0.9605750000000001	0.9393777777777779	0.9067000000000001	0.6966	0.3223	0.8928	0.7896799999999999	0.963776923076923	0.9404428571428571	0.9701799999999998	0.9573666666666666
breast_basal_epithelial	0.9645576923076923	0.9338124999999999	0.013236111111111112	0.9536875	0.9685	0.8958125	0.93925	0.9735625000000001	0.9685750000000001	0.9774285714285714	0.11652272727272726	0.9655416666666667	0.8982777777777778	0.9610681818181818	0.7888	0.8829	0.9275625	0.9087749999999999	0.9052083333333333	0.9633611111111111	0.8614999999999999	0.9578571428571429	0.1918125	0.77725	0.065675	0.9355	0.93825	0.9566	0.8841666666666667
breast_luminal_epithelial	0.9560769230769232	0.9465277777777777	0.0060555555555555545	0.9404166666666667	0.9707500000000001	0.9397083333333334	0.9608333333333333	0.9545833333333333	0.8577	0.9848095238095237	0.639969696969697	0.9698333333333333	0.8704074074074074	0.9599090909090909	0.7157333333333334	0.8914666666666666	0.9603333333333334	0.18656666666666663	0.9611666666666667	0.9765555555555557	0.9724444444444446	0.960904761904762	0.15458333333333332	0.8960833333333333	0.127	0.9619230769230769	0.9376666666666665	0.9628666666666666	0.9545555555555555
colon_endocrine	0.944923076923077	0.943361111111111	0.013759259259259258	0.017833333333333336	0.9544166666666668	0.9277083333333334	0.7897500000000001	0.7795833333333334	0.9376666666666668	0.969	0.9206666666666666	0.9039444444444443	0.9626296296296296	0.931030303030303	0.9048666666666666	0.6588666666666666	0.9834999999999999	0.9689333333333333	0.9260277777777778	0.9640370370370371	0.9193333333333333	0.9339047619047619	0.009000000000000001	0.9778333333333333	0.19686666666666666	0.9582051282051283	0.9352857142857142	0.9673333333333334	0.888111111111111
colon_epithelial	0.9356615384615384	0.9366666666666668	0.009300000000000001	0.03180000000000001	0.9436	0.9275749999999998	0.8135999999999999	0.8698499999999999	0.92874	0.9685714285714286	0.931309090909091	0.9095666666666666	0.9635999999999999	0.9536363636363637	0.8890399999999999	0.66272	0.9814499999999999	0.9463799999999999	0.9027000000000001	0.9460444444444445	0.9539333333333333	0.9617999999999999	0.02535	0.9632999999999999	0.1539	0.9340769230769231	0.9412571428571429	0.9686	0.9112666666666666
endometrium_epithelial	0.9603333333333334	0.9201944444444443	0.02468518518518519	0.8844166666666666	0.9627500000000001	0.9173749999999999	0.7810833333333335	0.9798333333333334	0.9379333333333334	0.09823809523809524	0.9159393939393938	0.9472777777777779	0.8365185185185186	0.959969696969697	0.6010000000000001	0.8164666666666666	0.9708333333333333	0.9506	0.9374999999999999	0.9613333333333333	0.9577777777777778	0.9626190476190476	0.38008333333333333	0.9764166666666666	0.08933333333333333	0.9592307692307692	0.11880952380952381	0.9672666666666667	0.8808888888888889
fallopian_epithelial	0.9793076923076921	0.9599166666666666	0.011000000000000001	0.95975	0.9604166666666667	0.8135	0.95525	0.9485	0.9654666666666666	0.09757142857142859	0.8668181818181818	0.9592777777777778	0.9528148148148148	0.9706363636363635	0.9264	0.8163333333333332	0.9809166666666668	0.9752333333333333	0.9735555555555555	0.9795185185185185	0.9586666666666668	0.9738095238095238	0.14183333333333334	0.9821666666666666	0.09849999999999999	0.9456923076923077	0.6070000000000001	0.9735999999999999	0.8812222222222221
fibroblast	0.7597912087912089	0.8792380952380953	0.03902380952380952	0.7901428571428573	0.9233571428571429	0.9010178571428572	0.9099642857142857	0.9244642857142857	0.8386000000000001	0.9217551020408165	0.7805194805194804	0.9116666666666667	0.8537777777777779	0.8950259740259741	0.5690857142857143	0.7764285714285715	0.9041785714285714	0.950957142857143	0.9090357142857144	0.8886190476190475	0.6826666666666668	0.8804489795918367	0.288	0.9112142857142856	0.2088142857142857	0.9323516483516483	0.8906326530612245	0.8924000000000001	0.8357619047619046
gastric_epithelial	0.9148461538461539	0.9074814814814813	0.010450617283950617	0.938138888888889	0.932638888888889	0.9197777777777778	0.9304444444444445	0.08913888888888889	0.9391888888888889	0.9463492063492064	0.8555959595959596	0.941925925925926	0.9399876543209876	0.864020202020202	0.9099777777777778	0.851	0.9447777777777778	0.9486666666666667	0.9308333333333333	0.9502592592592592	0.8911851851851852	0.7701746031746031	0.22733333333333336	0.9400555555555555	0.043977777777777775	0.9465128205128204	0.9488888888888888	0.9678444444444444	0.9317777777777777
heart_cardiomyocyte	0.9423461538461538	0.887972222222222	0.018916666666666665	0.9806666666666667	0.16774999999999998	0.8722291666666666	0.9379583333333334	0.9619583333333334	0.9571500000000001	0.9879761904761905	0.8663181818181819	0.961861111111111	0.965037037037037	0.962909090909091	0.9056666666666667	0.9381666666666667	0.9450416666666667	0.9743166666666667	0.9371805555555555	0.9627592592592592	0.9635555555555554	0.9632579365079365	0.16979166666666667	0.9326666666666666	0.06418333333333334	0.9429358974358973	0.9641428571428571	0.9539333333333332	0.9356666666666668
kidney_glomerular_endothel	0.9596410256410257	0.9460000000000001	0.0347962962962963	0.7963333333333334	0.9773333333333333	0.882375	0.924	0.9686666666666667	0.9156666666666666	0.9358095238095238	0.8869696969696971	0.9576111111111111	0.9768518518518517	0.924909090909091	0.7542000000000001	0.8538666666666667	0.9701666666666666	0.9669333333333334	0.9325000000000001	0.9476666666666667	0.948111111111111	0.9397619047619047	0.07883333333333332	0.9567500000000001	0.24966666666666662	0.9489743589743589	0.9377619047619047	0.9526	0.9084444444444445
kidney_glomerular_podocytes	0.968051282051282	0.9654444444444444	0.04583333333333334	0.9335833333333333	0.97625	0.9482083333333334	0.9641666666666667	0.90925	0.9004333333333334	0.9227142857142856	0.8609090909090908	0.9562222222222222	0.9762962962962963	0.9159393939393939	0.836	0.15066666666666664	0.96475	0.9738333333333332	0.9581944444444446	0.970037037037037	0.9364444444444443	0.9568571428571429	0.23908333333333331	0.9165000000000001	0.12183333333333335	0.9486666666666667	0.8765714285714287	0.9659333333333334	0.9078888888888889
kidney_tubular_endothel	0.9422307692307692	0.9340555555555555	0.063	0.9080833333333332	0.9672499999999999	0.891375	0.9274166666666667	0.9628333333333333	0.9275666666666668	0.9396190476190477	0.8762121212121211	0.9703888888888889	0.9565185185185187	0.8963333333333333	0.771	0.8805999999999999	0.9541666666666666	0.9722	0.9419166666666667	0.943	0.9828888888888888	0.9615238095238096	0.08783333333333333	0.9328333333333333	0.2779666666666667	0.9556923076923076	0.9273333333333333	0.9626000000000001	0.9345555555555555
kidney_tubular_epithelial	0.9674871794871795	0.9546944444444444	0.03127777777777777	0.9672499999999999	0.97825	0.945375	0.9645833333333332	0.9489999999999998	0.9390666666666666	0.919	0.9024242424242425	0.967777777777778	0.9738518518518519	0.8843030303030303	0.8748666666666667	0.06066666666666667	0.9759166666666667	0.9706333333333332	0.9682222222222223	0.9826296296296296	0.8954444444444444	0.9560952380952381	0.4189166666666666	0.92475	0.07673333333333333	0.938974358974359	0.8731904761904762	0.9770666666666666	0.9602222222222222
