	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
adipocytes	0.8143809523809523	0.9343904761904761	0.9335833333333333	0.8949629629629631	0.9709333333333333	0.9603958333333332	0.8641481481481481	0.9457222222222222	0.9395333333333333	0.9340833333333333	0.9283095238095239	0.9552962962962962	0.9347222222222221	0.93	0.9387333333333333	0.96375	0.9195777777777776	0.805888888888889	0.8532666666666665	0.9424444444444445	0.907	0.9585833333333333	0.9167666666666667	0.8210666666666667	0.9331666666666667	0.9581851851851853	0.9407619047619047	0.9435555555555556	0.9188333333333333	0.6341333333333333
aorta_endothel	0.9060714285714286	0.9448	0.964375	0.9384444444444444	0.9562999999999999	0.8764687500000001	0.9527222222222222	0.9392499999999999	0.9257	0.9313750000000001	0.9174642857142857	0.9432222222222222	0.8988750000000001	0.865125	0.9734	0.9016249999999999	0.9146333333333334	0.9200833333333334	0.9020000000000001	0.9299999999999999	0.919642857142857	0.9585	0.9324	0.8996	0.95575	0.9291666666666667	0.9637857142857145	0.8748333333333334	0.9010625	0.9181999999999999
bladder_epithelial	0.9438571428571428	0.9364914285714285	0.966	0.9218666666666667	0.9504399999999998	0.9394875	0.9630888888888889	0.9471666666666667	0.9476799999999999	0.7968999999999999	0.9591714285714286	0.9293555555555557	0.9451666666666668	0.9606	0.81168	0.88215	0.9509066666666668	0.0448	0.9052	0.7974666666666667	0.957642857142857	0.9725999999999999	0.9570200000000002	0.16652	0.94665	0.9549111111111112	0.9607999999999999	0.9481999999999999	0.965025	0.9305999999999999
blood_b	0.012228571428571429	0.8780171428571428	0.97645	0.9110000000000001	0.97188	0.9386125	0.9702	0.9466333333333333	0.9696400000000001	0.84595	0.9650857142857143	0.9635555555555555	0.9438666666666669	0.9137000000000001	0.91812	0.95185	0.94488	0.9111	0.9032	0.9802	0.9728285714285713	0.9842000000000001	0.04424	0.9526	0.76475	0.9561777777777778	0.9307142857142857	0.9056666666666666	0.94665	0.96296
blood_granulocytes	0.005238095238095237	0.9565333333333333	0.9613333333333335	0.8315555555555556	0.9728666666666665	0.964375	0.9753333333333334	0.9771666666666667	0.9842666666666667	0.9659166666666668	0.9592619047619048	0.9737777777777777	0.9508055555555556	0.9720833333333333	0.8036666666666666	0.9611666666666666	0.966911111111111	0.9706666666666667	0.9548666666666668	0.9757777777777777	0.9582380952380952	0.16108333333333333	0.9505666666666667	0.9475333333333333	0.836	0.9727777777777776	0.9714761904761905	0.9525555555555556	0.9582083333333333	0.8233333333333333
blood_monocytes	0.0013333333333333333	0.9558666666666668	0.9683333333333334	0.9555185185185184	0.9634	0.9809583333333333	0.968	0.9648333333333333	0.9797333333333335	0.949	0.9700476190476189	0.9684814814814815	0.9554166666666667	0.97375	0.8658666666666667	0.9695833333333334	0.9632222222222223	0.9642222222222223	0.9746	0.9817777777777777	0.9669047619047618	0.9545	0.9465	0.9571333333333333	0.8634166666666667	0.969962962962963	0.9773333333333333	0.9101111111111111	0.9703333333333334	0.9439333333333333
blood_nk	0.009190476190476192	0.9450190476190476	0.9805	0.9583333333333334	0.9363333333333332	0.9465625000000001	0.9738888888888889	0.9641666666666667	0.9770666666666666	0.9438333333333334	0.9594285714285714	0.9584444444444445	0.9643055555555554	0.9760833333333334	0.9460000000000001	0.9690833333333333	0.9497333333333332	0.9402222222222222	0.9159333333333333	0.9721111111111113	0.9664523809523811	0.965	0.9245000000000001	0.9571333333333333	0.03891666666666667	0.9475185185185185	0.9422380952380952	0.5655555555555556	0.9699583333333334	0.9400000000000001
blood_t_cd4	0.018157142857142858	0.9163885714285713	0.960525	0.9605111111111111	0.9588599999999999	0.9217999999999998	0.9600666666666665	0.9288000000000001	0.96356	0.919425	0.9314714285714286	0.9375333333333333	0.9316000000000001	0.936575	0.9226800000000001	0.9193250000000001	0.9255466666666667	0.9054	0.9007400000000001	0.9488666666666665	0.9532714285714284	0.9654499999999999	0.86995	0.9533000000000001	0.7790250000000001	0.9204666666666667	0.9169142857142857	0.029066666666666664	0.9607625000000001	0.94984
blood_t_cd8	0.015171428571428572	0.9030371428571428	0.9571249999999999	0.9591888888888889	0.96064	0.90073125	0.9619777777777777	0.9301833333333333	0.9656	0.8976499999999998	0.9377142857142859	0.934011111111111	0.9401666666666667	0.9400499999999999	0.92128	0.92735	0.9249666666666666	0.9141833333333335	0.8704799999999999	0.9629333333333333	0.9519285714285715	0.9693499999999998	0.8412200000000001	0.96552	0.5091500000000001	0.8979777777777779	0.8993285714285715	0.03643333333333334	0.9655374999999999	0.94428
breast_basal_epithelial	0.9393571428571429	0.9737714285714286	0.968375	0.9636666666666667	0.8991	0.980140625	0.9656944444444444	0.9692083333333332	0.97505	0.9556874999999999	0.29933928571428575	0.975388888888889	0.9554583333333333	0.9015	0.948	0.9274374999999999	0.9289666666666667	0.985875	0.87975	0.908	0.8961785714285715	0.9668125	0.9541	0.8655999999999999	0.9366875	0.8065555555555556	0.9703928571428571	0.9596666666666666	0.8641874999999999	0.9574
