	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
adipocytes	0.83225	0.8563333333333333	0.972	0.9273333333333333	0.9408333333333333	0.9715952380952381	0.9277894736842104	0.9633333333333334	0.9371999999999999	0.8848333333333334	0.8407777777777778	0.7528333333333334	0.9296666666666668	0.12736363636363637	0.9488	0.9362500000000001	0.852	0.9526	0.8931333333333332	0.9254242424242424	0.8828999999999999	0.9243333333333333	0.9167500000000001	0.8708888888888889	0.8902222222222221	0.8861666666666667	0.9435384615384615	0.7841666666666667	0.9688333333333334
aorta_endothel	0.858125	0.9036666666666666	0.948125	0.9139999999999999	0.926375	0.9505714285714286	0.9422631578947367	0.9026111111111113	0.9182999999999999	0.6076250000000001	0.8448333333333333	0.740125	0.933	0.1343181818181818	0.851	0.9085	0.9579000000000001	0.9764999999999999	0.8586	0.921	0.8804000000000001	0.953125	0.9632499999999999	0.9235	0.9141666666666667	0.9329375	0.8736153846153847	0.8447500000000001	0.94175
bladder_epithelial	0.8792	0.9489999999999998	0.9512	0.9211600000000001	0.91415	0.9433142857142857	0.9265263157894739	0.8884000000000001	0.9406000000000001	0.90445	0.9364000000000001	0.9239499999999999	0.9168666666666667	0.18352727272727276	0.20524000000000003	0.70655	0.9650399999999999	0.9261199999999998	0.94608	0.9586545454545454	0.93682	0.9347000000000001	0.9456999999999999	0.10353333333333334	0.9178000000000001	0.951475	0.9070153846153846	0.8144	0.9534
blood_b	0.0876	0.9700666666666666	0.96235	0.8890399999999999	0.9228	0.9684571428571429	0.9626736842105263	0.9296	0.9413199999999999	0.9765500000000001	0.9226000000000001	0.9462999999999999	0.9742666666666666	0.09925454545454546	0.8953199999999999	0.9291	0.9416	0.97852	0.9060400000000002	0.9520363636363637	0.8984400000000001	0.09849999999999999	0.92965	0.9763333333333334	0.9210666666666667	0.768675	0.9144	0.8912000000000001	0.7853
blood_granulocytes	0.02025	0.9677777777777777	0.9804166666666667	0.9578000000000001	0.9456666666666668	0.9736190476190476	0.9638947368421054	0.9657777777777778	0.9555333333333332	0.9589166666666666	0.8973333333333332	0.9654999999999999	0.98	0.025757575757575757	0.9342666666666668	0.9796666666666667	0.9392	0.9771333333333333	0.8681333333333333	0.20939393939393938	0.8978000000000002	0.8026666666666668	0.8901666666666666	0.9878888888888887	0.9556666666666667	0.159125	0.9442820512820514	0.94925	0.9649166666666668
blood_monocytes	0.005666666666666667	0.9771111111111112	0.9646666666666667	0.9626000000000001	0.9662499999999999	0.9787142857142858	0.9700175438596492	0.9773703703703703	0.9702666666666667	0.9707500000000001	0.9164444444444445	0.9880833333333333	0.9695555555555555	0.030969696969696967	0.9308666666666667	0.9699166666666666	0.9429333333333333	0.972	0.9196666666666666	0.9173333333333332	0.9216000000000001	0.8022083333333333	0.8666666666666667	0.9841111111111113	0.9540000000000001	0.047125	0.9531282051282052	0.9381666666666666	0.9479166666666666
blood_nk	0.06591666666666667	0.9763333333333333	0.9663333333333334	0.9745333333333334	0.9530833333333333	0.963452380952381	0.9722105263157893	0.9187407407407407	0.9289999999999999	0.957	0.9058888888888887	0.9397500000000001	0.9717777777777777	0.06478787878787878	0.9089999999999999	0.9599166666666666	0.9175333333333332	0.9701333333333332	0.9192	0.9732424242424242	0.9305666666666665	0.8812916666666667	0.2906666666666667	0.9774444444444444	0.9651111111111113	0.9512083333333333	0.9258974358974359	0.9050833333333332	0.8953333333333333
blood_t_cd4	0.06620000000000001	0.9744333333333334	0.9643499999999999	0.92792	0.9353750000000002	0.9686142857142856	0.9639947368421051	0.9316000000000001	0.9213199999999999	0.9452250000000001	0.9168666666666668	0.9142999999999999	0.9619666666666665	0.07678181818181819	0.90678	0.9371	0.9258599999999999	0.95686	0.9463999999999999	0.9587272727272728	0.9205699999999999	0.8869374999999999	0.899875	0.9573333333333334	0.9058999999999999	0.9679125000000001	0.9092461538461538	0.8595	0.8517999999999999
blood_t_cd8	0.12689999999999999	0.9651333333333334	0.9620000000000001	0.92534	0.9283250000000001	0.9613285714285713	0.9621052631578948	0.9099555555555554	0.8971600000000001	0.950475	0.8795999999999999	0.909075	0.9389999999999998	0.12787272727272728	0.89118	0.957575	0.91672	0.9460000000000001	0.9444199999999998	0.9571727272727273	0.9296900000000001	0.818075	0.733475	0.9674666666666665	0.9041	0.9639374999999999	0.8953538461538463	0.83545	0.745825
breast_basal_epithelial	0.9007499999999999	0.9788333333333333	0.9654375	0.94495	0.9614375	0.97725	0.9468947368421052	0.9645555555555556	0.9491499999999999	0.816875	0.9251666666666667	0.146875	0.9818333333333333	0.2933863636363636	0.95955	0.901625	0.9636	0.9541	0.9558	0.9511136363636364	0.05545	0.9562812500000001	0.9783124999999999	0.87875	0.9636666666666668	0.9809687500000001	0.9493653846153847	0.9785625	0.9738749999999999
breast_luminal_epithelial	0.87125	0.9884444444444443	0.9704999999999999	0.9446666666666667	0.9424166666666666	0.9774523809523811	0.9738245614035087	0.9489259259259258	0.9386666666666666	0.87325	0.9616666666666666	0.7755833333333332	0.9823333333333334	0.2796363636363636	0.9406666666666667	0.8435833333333335	0.9799333333333333	0.9550666666666667	0.9388	0.9394848484848484	0.07333333333333333	0.8069166666666666	0.9518333333333334	0.944111111111111	0.8702222222222223	0.9650416666666666	0.947923076923077	0.95175	0.9830833333333334
colon_endocrine	0.9466666666666667	0.9913333333333333	0.8894166666666666	0.07426666666666666	0.9554999999999999	0.9625714285714286	0.9447719298245615	0.9415185185185186	0.9621999999999998	0.9624166666666666	0.9249999999999999	0.89975	0.983111111111111	0.01778787878787879	0.9708	0.8423333333333334	0.9502	0.9014666666666667	0.9304	0.9601212121212122	0.9468333333333332	0.9625416666666666	0.9623333333333334	0.8586666666666667	0.641888888888889	0.9281666666666667	0.9413589743589744	0.949	0.96975
colon_epithelial	0.9418	0.9741333333333333	0.8745999999999998	0.04631999999999999	0.9410000000000001	0.9573	0.9597473684210526	0.8971333333333333	0.9450000000000001	0.9469	0.9126000000000001	0.8817	0.9754666666666667	0.03387272727272727	0.96524	0.7908	0.96372	0.9418	0.9284399999999999	0.958690909090909	0.9505600000000001	0.9594250000000001	0.95465	0.8830666666666668	0.6329333333333333	0.9109999999999999	0.9358923076923077	0.91275	0.9677999999999999
