	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
adipocytes	0.868	0.8931111111111111	0.9104814814814816	0.8951111111111111	0.9512857142857144	0.9734444444444444	0.9946666666666667	0.8830666666666666	0.6737222222222222	0.9249999999999998	0.9658735632183908	0.8166666666666668	0.8590666666666666	0.8810256410256411	0.9235833333333332	0.8660555555555557	0.9216666666666667	0.8302222222222223	0.9244761904761906	0.9085555555555556	0.9169999999999999	0.847	0.9467619047619046	0.89175	0.8611333333333334	0.8654444444444445	0.954392156862745
aorta_endothel	0.8043750000000001	0.9410000000000001	0.9123888888888888	0.8896666666666666	0.9492142857142856	0.9721666666666666	0.9395	0.8764	0.9030833333333332	0.82975	0.9182758620689655	0.8886000000000001	0.8675000000000002	0.8865384615384615	0.9421250000000001	0.8880833333333333	0.937625	0.8778333333333335	0.9312142857142858	0.8340000000000001	0.7108333333333334	0.8600000000000001	0.9312142857142858	0.91	0.7587999999999999	0.7813333333333334	0.926235294117647
bladder_epithelial	0.6867	0.9089333333333333	0.9405777777777778	0.9419333333333334	0.8808285714285715	0.9574666666666667	0.9615333333333332	0.9450400000000002	0.9394	0.9063333333333334	0.17071724137931032	0.8510000000000002	0.8385599999999999	0.8973384615384615	0.8433999999999999	0.9094666666666666	0.9420249999999999	0.9501999999999999	0.9406285714285716	0.8975333333333333	0.9519333333333334	0.9465333333333333	0.9139142857142858	0.921	0.8388	0.7282666666666666	0.9279411764705883
blood_b	0.84885	0.9456666666666667	0.9139777777777779	0.9053333333333334	0.8181714285714285	0.015266666666666668	0.9551333333333332	0.9678000000000001	0.67	0.9750333333333334	0.9203586206896552	0.96412	0.9423999999999999	0.9288000000000001	0.9479	0.9317666666666667	0.96165	0.6134666666666667	0.9368285714285716	0.9052	0.817	0.9245333333333331	0.9112285714285715	0.7845000000000001	0.8958	0.9389333333333333	0.9561999999999999
blood_granulocytes	0.9245000000000001	0.9876666666666667	0.9522222222222222	0.19533333333333333	0.9583809523809523	0.9707777777777777	0.967111111111111	0.9725333333333334	0.8833888888888889	0.9654444444444445	0.9531494252873562	0.9822666666666667	0.9392666666666667	0.9576410256410256	0.9329166666666667	0.9490555555555557	0.9733333333333333	0.9426666666666668	0.945	0.9617777777777778	0.952	0.9625555555555555	0.9347619047619049	0.76825	0.9618000000000001	0.9210000000000002	0.9402156862745098
blood_monocytes	0.9489166666666667	0.9817777777777777	0.9686666666666666	0.962888888888889	0.9612857142857143	0.9860000000000001	0.9066666666666666	0.9642	0.8703333333333334	0.9791666666666666	0.9583218390804596	0.9781333333333334	0.9502666666666668	0.9661794871794872	0.9525	0.9628333333333333	0.9704166666666666	0.01622222222222222	0.9401666666666667	0.9523333333333333	0.9675555555555556	0.9466666666666667	0.9669523809523809	0.80475	0.9294000000000001	0.9205555555555555	0.9700196078431372
blood_nk	0.968	0.9368888888888889	0.9507407407407408	0.8291111111111111	0.928142857142857	0.9764444444444443	0.943888888888889	0.8983333333333333	0.02722222222222222	0.9596111111111111	0.9259425287356322	0.9713333333333334	0.9614666666666666	0.9153589743589743	0.9218333333333334	0.9412777777777777	0.9815833333333334	0.8723333333333333	0.952904761904762	0.9164444444444443	0.9656666666666668	0.961	0.932142857142857	0.13716666666666666	0.9087999999999999	0.9267777777777777	0.9582156862745098
blood_t_cd4	0.9244499999999999	0.9193	0.8976000000000001	0.8497999999999999	0.8737428571428572	0.9314333333333333	0.9627333333333334	0.94634	0.12861666666666666	0.9635666666666667	0.9059793103448275	0.9646800000000001	0.9582599999999999	0.9457923076923077	0.8814250000000001	0.9181333333333335	0.9495125	0.8266333333333333	0.9431499999999999	0.8526999999999999	0.7877333333333334	0.8893000000000001	0.9339000000000001	0.7461749999999999	0.8728400000000001	0.9350000000000002	0.9436470588235293
blood_t_cd8	0.928475	0.9113999999999999	0.8785333333333334	0.7906666666666667	0.8760285714285715	0.9637666666666667	0.9531666666666666	0.9381	0.026600000000000002	0.9579166666666667	0.8993068965517242	0.9660599999999999	0.94388	0.9567692307692308	0.879725	0.9047833333333333	0.9334499999999999	0.8571333333333333	0.9370785714285713	0.8667333333333334	0.9177	0.8885333333333332	0.8870714285714285	0.6582250000000001	0.8629999999999999	0.9378666666666666	0.9388294117647058
breast_basal_epithelial	0.5990000000000001	0.9677499999999999	0.9329444444444445	0.9435833333333333	0.9555	0.9750833333333333	0.1855	0.8272	0.95775	0.9285	0.964155172413793	0.9584	0.89295	0.9419615384615385	0.6938749999999999	0.9842500000000001	0.85840625	0.9686666666666666	0.9713214285714286	0.9678333333333333	0.9620000000000001	0.9859166666666666	0.9758928571428571	0.9296875	0.6467499999999999	0.8855	0.11504411764705881
