	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
adipocytes	0.8565555555555555	0.828375	0.7828333333333332	0.8782222222222221	0.8895000000000001	0.9824444444444445	0.9485333333333333	0.9500666666666667	0.9398039215686275	0.9345	0.9673333333333334	0.9740833333333333	0.9652962962962963	0.9203333333333332	0.9194	0.8599166666666668	0.8987999999999999	0.9641666666666667	0.8711666666666668	0.9400769230769231	0.9626666666666667	0.8989166666666666	0.9290666666666666	0.9211388888888891	0.8793333333333333	0.79275	0.8586111111111111	0.9543888888888888	0.916
aorta_endothel	0.9206666666666666	0.966	0.9260833333333334	0.8971666666666668	0.9196666666666666	0.9291666666666667	0.9107999999999999	0.9432	0.9092941176470588	0.8732500000000001	0.9686250000000001	0.944625	0.9497222222222224	0.7115	0.8994	0.8891249999999999	0.8331000000000001	0.9209999999999999	0.87325	0.9491153846153846	0.8916666666666668	0.85375	0.8680000000000001	0.9559583333333332	0.8396666666666668	0.7522500000000001	0.95375	0.9394166666666667	0.8271999999999999
bladder_epithelial	0.7300666666666668	0.9808	0.9424666666666667	0.9333	0.9688000000000001	0.9031333333333335	0.8522799999999998	0.82072	0.9405411764705883	0.9273999999999999	0.8462500000000001	0.9506	0.9536	0.9572750000000001	0.15855999999999998	0.8706249999999999	0.96384	0.9622499999999998	0.9413833333333335	0.9592307692307692	0.9262	0.9182500000000001	0.94392	0.9287499999999997	0.6649999999999999	0.7278499999999999	0.9662666666666666	0.9593333333333334	0.7853600000000001
blood_b	0.22366666666666662	0.964575	0.9719000000000001	0.9147333333333332	0.9613666666666667	0.9346	0.94532	0.95888	0.9664705882352941	0.9471	0.95555	0.94275	0.8513555555555555	0.9156499999999997	0.9643200000000001	0.894175	0.9453999999999999	0.95285	0.9103999999999999	0.9419153846153845	0.0032666666666666664	0.9368500000000001	0.90892	0.9453333333333334	0.9211333333333334	0.83755	0.9602333333333334	0.9686999999999999	0.83432
blood_granulocytes	0.03014814814814815	0.6451250000000001	0.9709999999999998	0.8968333333333334	0.9771666666666666	0.9373333333333332	0.9574666666666666	0.9925999999999999	0.9747058823529411	0.9700833333333333	0.9931666666666666	0.9375	0.9757037037037036	0.8810416666666666	0.9767333333333333	0.9162083333333334	0.9676666666666668	0.9269999999999999	0.9535277777777779	0.30465384615384616	0.941	0.9076666666666666	0.9648666666666667	0.9708611111111111	0.9106666666666667	0.9090833333333332	0.014499999999999999	0.9698888888888888	0.8966
blood_monocytes	0.05007407407407407	0.6383333333333332	0.9792777777777778	0.9225555555555555	0.9823333333333334	0.9411111111111112	0.9658666666666665	0.9822000000000001	0.967470588235294	0.9554999999999999	0.9719166666666667	0.9488333333333333	0.9657037037037037	0.9072083333333333	0.9879333333333333	0.9104166666666665	0.9809999999999999	0.8991666666666666	0.9632499999999999	0.9489102564102564	0.9682222222222222	0.9548333333333333	0.9627333333333334	0.9631666666666666	0.9664444444444443	0.9259166666666667	0.008833333333333334	0.9667777777777777	0.8922
blood_nk	0.11874074074074074	0.9666666666666668	0.9693333333333333	0.9554444444444444	0.979	0.943111111111111	0.9646666666666667	0.9700666666666667	0.9649019607843137	0.9500833333333333	0.9705	0.93275	0.9595185185185185	0.8905416666666667	0.9629333333333333	0.8889583333333334	0.9523333333333334	0.9414999999999999	0.67625	0.950794871794872	0.9131111111111111	0.9330833333333333	0.055733333333333336	0.9629722222222222	0.9488888888888889	0.8373333333333332	0.9460555555555555	0.9548888888888888	0.9283333333333333
blood_t_cd4	0.14097777777777776	0.9686	0.9464833333333331	0.9429166666666667	0.9634833333333335	0.8710666666666669	0.9213800000000001	0.9517	0.9531058823529411	0.9391250000000001	0.954275	0.9318250000000001	0.9647111111111111	0.8944124999999999	0.9495999999999999	0.8873750000000001	0.92074	0.9061999999999999	0.8674250000000001	0.7755076923076923	0.5821666666666666	0.920425	0.7598400000000001	0.8922121212121212	0.8977666666666668	0.7947	0.96105	0.8839499999999999	0.8474599999999999
blood_t_cd8	0.18505555555555556	0.97035	0.9548166666666666	0.9369999999999999	0.9562666666666667	0.8699999999999999	0.9302399999999998	0.95762	0.9624764705882353	0.9245750000000001	0.9507249999999999	0.9573	0.9698555555555556	0.9094000000000001	0.95466	0.8523875000000001	0.9240999999999999	0.889	0.8056083333333334	0.9187769230769233	0.8140000000000001	0.9146750000000001	0.48822	0.8987250000000001	0.9127666666666666	0.781175	0.9497666666666668	0.8729333333333333	0.8378
breast_basal_epithelial	0.9645833333333333	0.97615625	0.970875	0.92275	0.9672916666666668	0.9701666666666666	0.97325	0.9405000000000001	0.963735294117647	0.9842500000000001	0.8406875	0.32218749999999996	0.9607222222222223	0.9831875000000001	0.9614499999999999	0.9249062499999998	0.97295	0.9597499999999999	0.7835833333333333	0.96675	0.9571666666666666	0.11862500000000001	0.9654	0.9395624999999999	0.07966666666666666	0.918375	0.986375	0.7185833333333332	0.94225
