	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
adipocytes	0.8714166666666666	0.9271111111111111	0.9535333333333335	0.8345333333333332	0.9190833333333334	0.9474	0.9444	0.9065416666666666	0.8745416666666667	0.84875	0.9140666666666667	0.9117222222222222	0.9562222222222222	0.8494444444444446	0.8733333333333334	0.9158333333333332	0.9610555555555557	0.8787333333333333	0.04361111111111111	0.8593888888888889	0.9294666666666668	0.9145	0.9087999999999999	0.9472222222222223	0.8787777777777778	0.9645416666666667
aorta_endothel	0.8835	0.9313333333333333	0.9510000000000001	0.819	0.9535	0.9205000000000001	0.9091	0.9574375	0.9081875	0.9025000000000001	0.8531	0.9130833333333334	0.9563333333333333	0.9578333333333333	0.8965000000000001	0.8888999999999999	0.9368333333333334	0.9174	0.052833333333333336	0.8870833333333333	0.9389000000000001	0.95875	0.8871	0.9600000000000001	0.7638333333333334	0.9336875
bladder_epithelial	0.7122	0.9701166666666665	0.9837199999999999	0.92376	0.9741500000000001	0.9726799999999999	0.8403600000000001	0.943	0.944975	0.9363499999999998	0.8850399999999998	0.7423	0.23293333333333335	0.9478666666666667	0.9000666666666668	0.90862	0.6283333333333334	0.9159	0.10206666666666667	0.7639	0.9474400000000001	0.07095	0.9139200000000001	0.9315333333333333	0.7667333333333334	0.916075
blood_b	0.008199999999999999	0.9538333333333332	0.9707399999999999	0.9012400000000002	0.9484999999999999	0.9569199999999999	0.92888	0.8945500000000001	0.7834249999999999	0.9546500000000002	0.8911999999999999	0.9536333333333333	0.9774666666666667	0.0078	0.9645333333333334	0.87044	0.9164333333333333	0.9618800000000001	0.023466666666666663	0.9446666666666665	0.9130800000000001	0.95055	0.87188	0.9676333333333333	0.8399333333333334	0.968225
blood_granulocytes	0.9399166666666666	0.9708611111111111	0.973	0.9360666666666666	0.9282499999999999	0.9765999999999999	0.9797333333333333	0.18120833333333333	0.9393333333333334	0.9536250000000001	0.9189333333333334	0.9645000000000001	0.9644444444444443	0.7829999999999999	0.9698888888888889	0.9468666666666667	0.9689444444444445	0.9649	0.0047777777777777775	0.9565555555555556	0.9620666666666665	0.8399166666666668	0.9584666666666667	0.9745555555555555	0.9134444444444444	0.9790833333333334
blood_monocytes	0.9375833333333334	0.9656111111111111	0.9821999999999999	0.9386000000000001	0.9386666666666666	0.9779333333333332	0.9558	0.7655833333333334	0.9407083333333333	0.9754583333333334	0.9043333333333333	0.9624444444444444	0.9699999999999999	0.08533333333333333	0.9842222222222222	0.9634999999999999	0.9476666666666667	0.9348000000000001	0.022166666666666668	0.9328333333333334	0.9766	0.9089166666666667	0.9432666666666666	0.985388888888889	0.9087777777777778	0.9764166666666666
blood_nk	0.79	0.9649722222222223	0.972	0.9087999999999999	0.9628333333333332	0.9716666666666667	0.9388	0.9522499999999999	0.9669166666666666	0.9708333333333333	0.14993333333333334	0.8205555555555556	0.9846666666666666	0.9092222222222222	0.9844444444444443	0.9113666666666665	0.9583333333333334	0.9503666666666667	0.03261111111111111	0.9268333333333333	0.8010666666666667	0.7103333333333334	0.06773333333333333	0.9622777777777777	0.9325555555555555	0.9686666666666667
blood_t_cd4	0.8307	0.9531749999999999	0.96106	0.8492200000000001	0.928575	0.9557800000000001	0.8995200000000001	0.9282874999999999	0.936375	0.945625	0.13766000000000003	0.9596333333333333	0.9589666666666667	0.8418666666666667	0.9460000000000001	0.8860299999999999	0.9309500000000002	0.9606600000000001	0.03536666666666667	0.9295333333333333	0.78518	0.9106749999999998	0.7500199999999999	0.9513833333333335	0.8774666666666666	0.9453500000000001
blood_t_cd8	0.7299249999999999	0.9416916666666666	0.95942	0.8275400000000002	0.9245500000000002	0.95448	0.87492	0.91705	0.9436125000000001	0.9494125	0.06518	0.9456499999999999	0.9579333333333333	0.9033999999999999	0.9429000000000001	0.8755000000000001	0.9277166666666666	0.95504	0.04238333333333333	0.9305	0.90954	0.8813500000000001	0.48216000000000003	0.9399166666666666	0.8675666666666666	0.9556375000000001
breast_basal_epithelial	0.8480624999999999	0.9661458333333334	0.9736750000000001	0.9047499999999999	0.8325625	0.9773499999999999	0.94965	0.973	0.92471875	0.31796875	0.9261	0.947125	0.9523333333333334	0.9460833333333334	0.9954166666666666	0.963325	0.8105833333333333	0.9621250000000001	0.24912500000000004	0.6373333333333333	0.9742	0.87425	0.97715	0.8829166666666667	0.84975	0.9590624999999999
breast_luminal_epithelial	0.8000833333333333	0.95925	0.9595666666666666	0.8879999999999999	0.8994166666666666	0.9499333333333334	0.8926000000000002	0.9274166666666667	0.9406249999999999	0.83475	0.8970666666666668	0.8245	0.9708888888888888	0.9726666666666666	0.9382222222222222	0.9667	0.06105555555555556	0.9530333333333334	0.1482222222222222	0.7736666666666666	0.9728	0.18416666666666667	0.9445333333333333	0.9613888888888887	0.9057777777777778	0.9566666666666667
colon_endocrine	0.9110833333333334	0.9593611111111112	0.9552666666666667	0.9268666666666667	0.9780000000000001	0.05726666666666667	0.9013333333333334	0.9482083333333332	0.9125833333333332	0.94575	0.9147333333333334	0.8029444444444445	0.7814444444444445	0.9633333333333333	0.9774444444444444	0.9520333333333332	0.9734999999999999	0.9391999999999999	0.017722222222222223	0.915	0.757	0.7345	0.9661333333333334	0.9828333333333333	0.9844444444444446	0.9036666666666666
colon_epithelial	0.9263	0.9546499999999998	0.96444	0.9027199999999999	0.9718	0.04892	0.90392	0.9389	0.9323499999999999	0.9131500000000001	0.93212	0.9252666666666667	0.8789999999999999	0.9562666666666667	0.9716666666666667	0.9473400000000002	0.9644000000000001	0.9582199999999998	0.026666666666666665	0.9359999999999999	0.8554	0.8602999999999998	0.96228	0.9546333333333333	0.9650000000000001	0.92865
endometrium_epithelial	0.12316666666666666	0.9067222222222222	0.9369999999999999	0.9386666666666666	0.965	0.9199999999999999	0.7126	0.7992916666666666	0.8985416666666666	0.9293333333333332	0.8730666666666668	0.9140555555555555	0.9836666666666667	0.9568888888888889	0.8741111111111111	0.8308	0.8457222222222223	0.7982666666666667	0.7196111111111111	0.9186111111111112	0.9239333333333333	0.7856666666666666	0.9588666666666668	0.9568333333333333	0.9157777777777777	0.9560833333333333
