	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
adipocytes	0.8529999999999999	0.9639259259259259	0.9202	0.8515	0.89275	0.9379666666666667	0.9273571428571428	0.9524166666666666	0.7635238095238095	0.6782857142857143	0.9523846153846155	0.9260588235294117	0.8404444444444445	0.8922500000000001	0.8755714285714286	0.9673333333333334	0.03288888888888889	0.5573333333333333	0.9436666666666667	0.92725	0.84725	0.8834444444444446	0.07588888888888888	0.9423333333333334
aorta_endothel	0.917	0.9243888888888888	0.9519	0.9485	0.825125	0.9565999999999999	0.9538571428571428	0.91275	0.8665	0.8622857142857143	0.9293076923076922	0.8977058823529411	0.8658333333333332	0.9428750000000001	0.9060714285714286	0.9699	0.067	0.96	0.9505	0.8921875	0.651875	0.9151666666666667	0.05716666666666667	0.8858333333333333
bladder_epithelial	0.21719999999999998	0.9594444444444445	0.9019200000000002	0.9195	0.7606499999999999	0.9667600000000001	0.9295571428571427	0.8756499999999999	0.9276	0.8116857142857145	0.9592461538461539	0.9608705882352941	0.8099333333333334	0.8929499999999999	0.9001714285714286	0.9090400000000001	0.20380000000000004	0.9588000000000001	0.9637333333333334	0.27005	0.8887499999999999	0.9023333333333333	0.07936666666666667	0.9289333333333334
blood_b	0.8914666666666667	0.8831333333333331	0.8985600000000001	0.90655	0.9610999999999998	0.96696	0.9488571428571427	0.798	0.05271428571428573	0.9416571428571429	0.9191846153846154	0.9630705882352941	0.95	0.1202	0.9616	0.9343600000000001	0.19906666666666667	0.9704333333333335	0.9683999999999999	0.91975	0.9441500000000002	0.9128000000000001	0.25803333333333334	0.9732
blood_granulocytes	0.9746666666666667	0.9608518518518517	0.9606666666666666	0.9591666666666666	0.9671666666666666	0.9277333333333333	0.9600000000000001	0.9554166666666667	0.08566666666666667	0.9505238095238097	0.969948717948718	0.963627450980392	0.9673333333333334	0.9383333333333335	0.9674285714285714	0.9368000000000002	0.02366666666666667	0.8515000000000001	0.23644444444444443	0.6769999999999999	0.9551666666666666	0.9505555555555555	0.11927777777777777	0.9732222222222222
blood_monocytes	0.9577777777777777	0.9555185185185184	0.9805333333333334	0.9425833333333333	0.9778333333333333	0.9553333333333334	0.9397142857142856	0.9760833333333333	0.0067619047619047615	0.9263333333333333	0.9742307692307692	0.9731176470588236	0.9666666666666667	0.9034999999999999	0.980047619047619	0.9715999999999999	0.05611111111111112	0.8996111111111111	0.7814444444444444	0.8249583333333333	0.9371666666666667	0.9568888888888889	0.10211111111111111	0.973
blood_nk	0.8761111111111112	0.20233333333333334	0.9253333333333332	0.9504166666666668	0.9863333333333334	0.9786666666666667	0.9577142857142857	0.9225	0.7927619047619049	0.9471904761904762	0.9642564102564103	0.9781960784313726	0.9440000000000001	0.6819166666666666	0.9584285714285713	0.9732666666666666	0.10488888888888888	0.9387777777777777	0.9455555555555555	0.9308333333333332	0.9513333333333334	0.9081111111111112	0.1471111111111111	0.9692222222222222
blood_t_cd4	0.8532333333333334	0.9194777777777778	0.8948800000000002	0.9360250000000001	0.9451749999999999	0.9664300000000001	0.9399285714285716	0.7792	0.9050714285714285	0.9314285714285713	0.9353307692307693	0.961429411764706	0.9170999999999999	0.11939999999999999	0.9605285714285714	0.96144	0.1253	0.9504666666666667	0.9542333333333332	0.8884375	0.90945	0.8584666666666667	0.17915	0.9631333333333334
blood_t_cd8	0.8293999999999999	0.8680999999999999	0.8859	0.92615	0.95665	0.9557500000000001	0.9419642857142856	0.762675	0.9299	0.9419571428571428	0.9328	0.9650764705882352	0.8931666666666667	0.07805	0.9475428571428572	0.95472	0.14263333333333333	0.9361	0.9622333333333334	0.8732875	0.9250999999999999	0.8586333333333334	0.23593333333333333	0.9443333333333335
breast_basal_epithelial	0.15083333333333335	0.9170833333333333	0.9598500000000001	0.9570625	0.947125	0.94655	0.9580714285714287	0.8351875	0.8520000000000001	0.9313214285714285	0.9257692307692308	0.9427352941176471	0.9680833333333333	0.98075	0.14357142857142857	0.9428	0.02341666666666667	0.9658749999999999	0.9325833333333333	0.9617499999999999	0.9198124999999999	0.8983333333333332	0.15120833333333333	0.84725
