	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
adipocytes	0.19411111111111112	0.715686274509804	0.8669333333333333	0.9160555555555555	0.8854166666666666	0.9498333333333333	0.952111111111111	0.9055238095238095	0.9313333333333333	0.91	0.9228245614035088	0.8976666666666667	0.8235555555555555	0.9057142857142857	0.8041666666666667	0.9547575757575757	0.8718888888888888	0.8415925925925926	0.9464999999999999	0.9091666666666667	0.953	0.811	0.7793333333333333	0.9584999999999999	0.8072222222222222
aorta_endothel	0.20809999999999995	0.880264705882353	0.9125999999999999	0.8625	0.8916875	0.92625	0.9151666666666667	0.8981428571428571	0.8813333333333334	0.953	0.9307631578947368	0.9055	0.6726666666666666	0.9149642857142858	0.9000833333333333	0.958590909090909	0.8738333333333335	0.8513333333333333	0.90875	0.9179999999999999	0.9576666666666667	0.8808	0.9043749999999999	0.950125	0.7909999999999999
bladder_epithelial	0.05172	0.9029882352941178	0.9601199999999999	0.8815	0.90445	0.9317499999999999	0.9702666666666667	0.9331714285714285	0.7404666666666666	0.94985	0.9186736842105262	0.9172	0.13046666666666665	0.9572857142857144	0.9343666666666668	0.9542909090909092	0.8887666666666666	0.9265333333333334	0.9469999999999998	0.88385	0.08226666666666667	0.90776	0.951	0.87385	0.8572
blood_b	0.8896266666666666	0.9178588235294118	0.96304	0.9498999999999999	0.8882749999999999	0.9411999999999999	0.9364666666666667	0.9668000000000001	0.9518666666666666	0.9671	0.9501894736842104	0.9426666666666665	0.9368666666666666	0.9337857142857142	0.9427333333333333	0.9624	0.12279999999999998	0.9286222222222221	0.7765	0.8845000000000001	0.9669333333333334	0.77476	0.823925	0.9737500000000001	0.9642666666666667
blood_granulocytes	0.8735555555555555	0.9563921568627451	0.9788666666666667	0.9807222222222222	0.9575	0.9560000000000001	0.9658888888888889	0.9752857142857144	0.9565555555555556	0.8916666666666666	0.9486491228070175	0.9460000000000001	0.8676666666666666	0.9567857142857142	0.9162222222222222	0.430969696969697	0.9188055555555555	0.910888888888889	0.5790000000000001	0.9728333333333334	0.8901111111111111	0.9306000000000001	0.024624999999999998	0.8123333333333332	0.9195555555555556
blood_monocytes	0.8878666666666666	0.9671764705882353	0.9749333333333333	0.9756111111111112	0.933625	0.975	0.9655555555555555	0.9790952380952381	0.9456666666666665	0.9554166666666667	0.9515614035087717	0.9662222222222221	0.8667777777777778	0.9776666666666666	0.7467222222222222	0.9032424242424243	0.9093055555555555	0.9346296296296296	0.8765555555555555	0.9852500000000001	0.9298888888888889	0.9264666666666667	0.04695833333333333	0.8334999999999999	0.948111111111111
blood_nk	0.9196222222222223	0.9451176470588235	0.9674666666666667	0.9470555555555555	0.94075	0.9454166666666666	0.896888888888889	0.9568095238095239	0.9467777777777777	0.9740833333333333	0.9581403508771928	0.9089999999999999	0.9227777777777778	0.9533333333333335	0.8772222222222222	0.9677272727272728	0.7771666666666666	0.9368518518518519	0.14355555555555558	0.952	0.6739999999999999	0.8678666666666667	0.9236666666666666	0.9602499999999999	0.9742222222222222
blood_t_cd4	0.8802399999999999	0.9107764705882353	0.94134	0.9141999999999999	0.9017499999999998	0.9595750000000001	0.9029999999999999	0.9644285714285713	0.9192666666666666	0.96505	0.9382631578947368	0.9266333333333334	0.9032	0.9355642857142857	0.9362666666666666	0.9569454545454544	0.8822666666666666	0.9243333333333332	0.8329666666666666	0.8815249999999999	0.9525666666666666	0.79312	0.9413750000000001	0.943975	0.9667000000000001
blood_t_cd8	0.9050333333333332	0.9196529411764706	0.95136	0.9132833333333334	0.8862375	0.9366	0.8539666666666668	0.9647857142857144	0.9269000000000001	0.9689	0.9502421052631579	0.8979666666666667	0.8947	0.9322785714285715	0.9354000000000001	0.9546727272727271	0.8623999999999998	0.910888888888889	0.58895	0.8858749999999999	0.9511000000000001	0.76052	0.9411875000000001	0.9441750000000001	0.9668999999999999
breast_basal_epithelial	0.025766666666666667	0.9281470588235294	0.9712500000000001	0.9144166666666667	0.92846875	0.9733125	0.9810833333333333	0.9125714285714286	0.96775	0.11075	0.9153552631578947	0.9706666666666667	0.8344166666666667	0.9594464285714286	0.9418333333333333	0.9781590909090909	0.9616666666666666	0.05211111111111111	0.7355416666666666	0.9348125	0.09075000000000001	0.77575	0.9735	0.9626875	0.9635833333333333
