	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
adipocytes	0.8945555555555557	0.8999166666666666	0.9461428571428572	0.9116666666666666	0.9603333333333334	0.8848809523809523	0.9447407407407408	0.7545128205128204	0.8939999999999998	0.9202222222222223	0.08655555555555555	0.8854444444444445	0.9669166666666666	0.8837777777777779	0.9432222222222221	0.8566296296296296	0.8958166666666667	0.9307619047619048	0.8933333333333332	0.8853750000000001	0.8846666666666666	0.912	0.7722000000000001	0.9080833333333334
aorta_endothel	0.9370833333333333	0.895375	0.9315714285714285	0.887	0.917875	0.8871785714285716	0.9431666666666667	0.8770769230769231	0.9234	0.8761666666666665	0.061000000000000006	0.9315	0.9325	0.7184999999999999	0.9524166666666667	0.7956666666666665	0.9347000000000001	0.8580714285714286	0.877	0.8875000000000001	0.8391	0.8311666666666668	0.8171999999999999	0.8975
bladder_epithelial	0.06116666666666667	0.92775	0.957857142857143	0.9052666666666667	0.95455	0.942757142857143	0.9496444444444446	0.8944153846153846	0.9580399999999999	0.9581333333333333	0.11963333333333334	0.9194666666666667	0.8233	0.9405333333333333	0.7354333333333334	0.9277555555555554	0.9238299999999999	0.9050857142857144	0.12600000000000003	0.9466750000000002	0.80612	0.6428666666666667	0.8694400000000002	0.91385
blood_b	0.7081333333333333	0.9676500000000001	0.8942571428571429	0.975	0.9402750000000001	0.9196142857142856	0.9681111111111111	0.17604615384615385	0.80392	0.9275	0.16536666666666666	0.7661333333333334	0.9645250000000001	0.8575999999999999	0.9695333333333334	0.9680444444444444	0.8895799999999999	0.17117142857142859	0.9343499999999999	0.890925	0.9612399999999999	0.9366	0.80792	0.9591749999999999
blood_granulocytes	0.8883333333333332	0.9716666666666667	0.9600952380952381	0.9235555555555556	0.9470833333333334	0.9731190476190476	0.963	0.17351282051282046	0.8752666666666666	0.9668888888888888	0.10083333333333333	0.9818888888888889	0.9580416666666666	0.9484444444444443	0.9761666666666667	0.17522222222222225	0.9401666666666667	0.7556190476190476	0.9514999999999999	0.691375	0.9759333333333333	0.9731111111111111	0.7700666666666667	0.9688333333333333
blood_monocytes	0.8846666666666666	0.9728333333333333	0.9648095238095239	0.9645555555555555	0.9572916666666665	0.9759047619047619	0.9497037037037037	0.059897435897435895	0.8762	0.960111111111111	0.1248888888888889	0.9644444444444443	0.9679583333333334	0.9436666666666667	0.9824444444444446	0.6758518518518518	0.9304666666666667	0.7712857142857144	0.92225	0.7421666666666668	0.9651333333333333	0.9781111111111112	0.7820666666666666	0.9585416666666666
blood_nk	0.6844444444444444	0.96525	0.9223809523809523	0.9692222222222222	0.9531666666666666	0.9296428571428571	0.9512222222222223	0.9391025641025639	0.0842	0.9330000000000002	0.11783333333333335	0.9673333333333334	0.9605	0.9035555555555556	0.9633888888888889	0.9592222222222223	0.9323666666666668	0.9437619047619048	0.9423333333333334	0.011333333333333334	0.9553333333333334	0.9332222222222223	0.8245333333333335	0.9587083333333334
blood_t_cd4	0.88195	0.93215	0.8975571428571427	0.9549	0.9423499999999999	0.9197928571428571	0.9461	0.9301923076923077	0.15948	0.8692166666666667	0.13681666666666664	0.9234333333333333	0.9398125	0.8826	0.9596	0.9092888888888888	0.9138399999999999	0.9479285714285712	0.903075	0.9160499999999999	0.9429199999999998	0.7958000000000001	0.82354	0.9498875
blood_t_cd8	0.8821833333333332	0.91615	0.8540571428571428	0.9558666666666668	0.9387375000000002	0.9224214285714284	0.9337333333333333	0.9400307692307693	0.11059999999999999	0.8617666666666667	0.1629	0.9289666666666665	0.9536624999999999	0.8690333333333333	0.9529333333333334	0.9285555555555556	0.87225	0.9263142857142856	0.909975	0.8028124999999999	0.93712	0.8722666666666667	0.8422599999999999	0.9548249999999999
breast_basal_epithelial	0.05308333333333334	0.8368125	0.9744285714285714	0.8871666666666667	0.9518437500000001	0.9311428571428572	0.950888888888889	0.9379615384615384	0.9177499999999998	0.9488749999999999	0.09762499999999999	0.9544166666666667	0.10415625	0.9662499999999999	0.91625	0.7515555555555555	0.9473374999999999	0.9085714285714286	0.9611875	0.9634687500000001	0.9817	0.7073333333333333	0.7728	0.31953125
