	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
adipocytes	0.8171111111111111	0.9489523809523809	0.9476666666666667	0.8845666666666667	0.9360416666666667	0.09703030303030304	0.9577999999999999	0.8232666666666667	0.9032857142857144	0.7463750000000001	0.9643333333333333	0.90125	0.7844848484848485	0.9052857142857142	0.9669444444444445	0.86225	0.945	0.938076923076923	0.9562222222222223	0.7971666666666666	0.8728000000000001	0.9107619047619048	0.80425
aorta_endothel	0.7873333333333332	0.9182857142857144	0.867875	0.9266	0.9301875	0.09609090909090909	0.9439500000000001	0.8827	0.9134285714285715	0.788375	0.918	0.912	0.9270454545454547	0.8593571428571428	0.9337500000000001	0.84775	0.8901	0.9356538461538462	0.9546666666666666	0.922125	0.9048	0.9182142857142856	0.854625
bladder_epithelial	0.0724	0.9606285714285715	0.9271	0.9418200000000001	0.64005	0.12509090909090909	0.9171199999999999	0.8952399999999999	0.5973142857142858	0.8951	0.7985	0.9431499999999999	0.9557272727272726	0.8735142857142858	0.8641666666666665	0.8348500000000001	0.08080000000000001	0.9449846153846154	0.9621333333333334	0.923	0.8674800000000001	0.9510285714285714	0.8595
blood_b	0.8657333333333332	0.9319999999999998	0.9550000000000001	0.96906	0.7682499999999999	0.1839818181818182	0.13776000000000002	0.8845600000000001	0.9725142857142857	0.8959250000000001	0.977	0.9291499999999999	0.9552545454545456	0.9457142857142857	0.7238	0.9127000000000001	0.9199599999999999	0.9580307692307694	0.8744	0.84975	0.93244	0.9235714285714284	0.9230499999999999
blood_granulocytes	0.8467777777777777	0.9646666666666666	0.9249166666666667	0.9515666666666666	0.956875	0.11227272727272726	0.9232333333333335	0.0962	0.9645238095238096	0.8783750000000001	0.6315	0.9385833333333333	0.9586363636363636	0.931047619047619	0.9792222222222221	0.9091666666666667	0.9645333333333334	0.9716923076923076	0.1381111111111111	0.9041666666666668	0.9218000000000001	0.9666190476190476	0.9090833333333334
blood_monocytes	0.8347777777777777	0.9652380952380953	0.9385833333333333	0.9796666666666667	0.8290833333333333	0.12996969696969699	0.9542333333333334	0.016666666666666666	0.9828571428571428	0.8757083333333333	0.9768333333333334	0.9413333333333332	0.9804848484848484	0.9458095238095239	0.9590555555555556	0.9390000000000001	0.9341333333333334	0.9772307692307693	0.8450000000000001	0.8967499999999999	0.9174000000000001	0.9485714285714285	0.8180833333333334
blood_nk	0.8220000000000001	0.939857142857143	0.9478333333333332	0.9682999999999998	0.9512916666666666	0.11493939393939394	0.9306333333333333	0.9551333333333334	0.9429523809523809	0.048875	0.9730833333333333	0.9235000000000001	0.9102727272727273	0.955952380952381	0.8928888888888888	0.9141666666666667	0.9072	0.9697692307692307	0.06816666666666667	0.9042499999999999	0.9253333333333332	0.9424285714285713	0.9395000000000001
blood_t_cd4	0.8581999999999999	0.9277428571428572	0.9115249999999999	0.96129	0.867075	0.1688	0.94567	0.8610599999999999	0.9417714285714286	0.020675000000000006	0.943375	0.9111249999999999	0.8644818181818182	0.9323285714285714	0.9297833333333333	0.8850999999999999	0.49129999999999996	0.958046153846154	0.9099499999999999	0.8477499999999999	0.93808	0.9016285714285714	0.9215250000000001
blood_t_cd8	0.8423333333333332	0.9181857142857144	0.9223249999999998	0.97081	0.8890125000000001	0.19756363636363639	0.94687	0.8967	0.9164857142857145	0.0180875	0.9488	0.9017499999999998	0.8489636363636363	0.9267142857142858	0.7881666666666668	0.87615	0.7526	0.960023076923077	0.7333833333333332	0.8267	0.92088	0.8977857142857142	0.9298249999999999
breast_basal_epithelial	0.043833333333333335	0.9835357142857143	0.9299375000000001	0.91675	0.9569375	0.30034090909090916	0.9763	0.9043999999999999	0.9634999999999999	0.95178125	0.9769375	0.9381875	0.1313181818181818	0.9388928571428571	0.952125	0.9253750000000001	0.9564999999999999	0.7834615384615384	0.9762083333333333	0.7928125	0.94465	0.10878571428571429	0.8857499999999999
breast_luminal_epithelial	0.0025555555555555553	0.9751428571428572	0.91575	0.9400999999999998	0.9675416666666666	0.2045151515151515	0.9676333333333332	0.9035333333333333	0.8702857142857142	0.9391250000000001	0.89825	0.9114166666666668	0.7507878787878789	0.8472857142857143	0.9720555555555556	0.7827500000000001	0.9348000000000001	0.9111794871794873	0.9834444444444445	0.8180000000000001	0.9477333333333333	0.2917619047619047	0.8816666666666667
colon_endocrine	0.02677777777777778	0.9663809523809523	0.9482499999999999	0.9340333333333333	0.80625	0.20927272727272728	0.9188333333333333	0.8667333333333334	0.030380952380952383	0.9455	0.6363333333333333	0.7666666666666666	0.8852727272727273	0.8480476190476192	0.5909444444444445	0.8806666666666666	0.8730666666666668	0.9630256410256411	0.9754444444444444	0.9155000000000001	0.9421333333333334	0.9369999999999999	0.9273333333333333
