	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
adipocytes	0.5991	0.8859999999999998	0.8476666666666666	0.93825	0.8905952380952381	0.944952380952381	0.9616041666666667	0.8784166666666665	0.8719999999999999	0.874	0.9298571428571428	0.9062222222222222	0.9034166666666666	0.9255000000000001	0.8941111111111111	0.9179166666666667	0.9303809523809524	0.9506944444444444	0.935037037037037	0.8176666666666668	0.6274166666666666	0.8905833333333333	0.8312222222222223	0.9495333333333332	0.7815333333333333	0.7360666666666668	0.9112	0.803111111111111
aorta_endothel	0.75835	0.9454166666666666	0.8411000000000001	0.9632499999999999	0.9361071428571428	0.9815714285714285	0.93109375	0.8525	0.8625	0.9546250000000001	0.9157857142857144	0.8551666666666667	0.7455	0.948375	0.9095	0.917	0.899	0.9394583333333333	0.946388888888889	0.9363333333333332	0.812375	0.8815000000000001	0.8201666666666667	0.8368	0.9153	0.8728	0.8525	0.9086666666666666
bladder_epithelial	0.6629799999999999	0.9371333333333334	0.9584800000000001	0.9541000000000001	0.9501999999999999	0.8870000000000001	0.9531749999999999	0.93895	0.9549333333333333	0.7954000000000001	0.9137428571428572	0.6652666666666667	0.57025	0.92685	0.15953333333333333	0.97155	0.9004428571428573	0.9597166666666667	0.9705999999999999	0.8915666666666666	0.78915	0.92895	0.06206666666666666	0.8974400000000001	0.9475999999999999	0.9023999999999999	0.9486799999999999	0.14513333333333334
blood_b	0.03374	0.9698666666666668	0.9716799999999999	0.95695	0.9604285714285714	0.9094571428571427	0.9427	0.83615	0.8213333333333332	0.9085000000000001	0.9642	0.8916666666666668	0.8516	0.9250999999999999	0.7368333333333333	0.9080999999999999	0.8676142857142859	0.3046666666666667	0.9674888888888888	0.9545333333333333	0.8543	0.8933500000000001	0.8196666666666668	0.94208	0.16571999999999998	0.8318	0.80808	0.8962666666666668
blood_granulocytes	0.005933333333333333	0.8042222222222222	0.9673333333333333	0.9765833333333335	0.9705714285714286	0.9683333333333334	0.9637916666666667	0.92525	0.949	0.9508333333333333	0.9783809523809524	0.9595555555555554	0.8896666666666667	0.7011666666666668	0.9763333333333333	0.9632499999999999	0.832357142857143	0.9385	0.9648518518518517	0.17227777777777778	0.9028333333333333	0.9693333333333333	0.9646666666666666	0.9319333333333333	0.9672666666666666	0.8075333333333333	0.9642000000000001	0.9584444444444444
blood_monocytes	0.008466666666666666	0.9330555555555556	0.9661333333333334	0.9682499999999999	0.9781904761904762	0.9661428571428571	0.9730833333333333	0.9189166666666666	0.9792222222222221	0.9189166666666667	0.9645714285714284	0.9613333333333335	0.9039999999999999	0.93125	0.9672222222222223	0.9655833333333333	0.8606190476190477	0.9400833333333333	0.9607037037037037	0.6780555555555555	0.9014166666666666	0.9473333333333334	0.972	0.9611333333333333	0.9717333333333333	0.8259333333333334	0.9727333333333332	0.9667777777777777
blood_nk	0.024833333333333336	0.9664444444444444	0.9414000000000001	0.9634999999999999	0.9742857142857143	0.9482857142857144	0.9508958333333334	0.8884166666666667	0.9742222222222222	0.9000833333333333	0.9816190476190476	0.8655555555555554	0.8031666666666667	0.9305	0.9323888888888888	0.9344166666666666	0.8168333333333333	0.9582222222222222	0.9511481481481482	0.9577222222222223	0.74525	0.10433333333333333	0.9118888888888889	0.9450666666666666	0.9708	0.08086666666666666	0.7890666666666667	0.9523333333333334
blood_t_cd4	0.018520000000000002	0.9644666666666668	0.90174	0.9498000000000001	0.9600928571428572	0.9209571428571428	0.9337937500000001	0.8662749999999999	0.9241666666666667	0.8850250000000001	0.9623428571428573	0.7505999999999999	0.8746	0.8996000000000001	0.9024333333333333	0.8651750000000001	0.8667642857142857	0.9515	0.944888888888889	0.9285	0.8641	0.09875	0.8492666666666666	0.9126000000000001	0.9382199999999999	0.79244	0.8160000000000001	0.8599333333333334
blood_t_cd8	0.01318	0.9672833333333333	0.8612400000000001	0.9566000000000001	0.9629928571428572	0.9044428571428572	0.9396437499999998	0.8259000000000001	0.9574666666666667	0.8715250000000001	0.9545714285714286	0.7117333333333333	0.8603249999999999	0.8695	0.8472833333333334	0.8382249999999999	0.8734571428571429	0.9493833333333332	0.9364777777777779	0.9270166666666666	0.8650500000000001	0.10600000000000001	0.8326	0.9268400000000001	0.9525600000000001	0.5421	0.60118	0.9077666666666667
breast_basal_epithelial	0.9493999999999999	0.9249166666666666	0.94865	0.88475	0.835482142857143	0.934392857142857	0.97553125	0.97475	0.9495000000000001	0.973375	0.9496785714285714	0.09491666666666666	0.6026875	0.9139375000000001	0.8616666666666667	0.974	0.9133928571428571	0.9380416666666666	0.8924166666666666	0.9787916666666667	0.5525625	0.7424999999999999	0.03983333333333334	0.9801000000000001	0.9216	0.92395	0.92235	0.09974999999999999
